(0, 1, (Conflict.Attack.Unspecified, Temporal_Order, Conflict.Attack.DetonateExplode)); || support = 160
(0, 1, (Conflict.Attack.Unspecified, Temporal_Order, Conflict.Attack.DetonateExplode));(1, 2, (Conflict.Attack.DetonateExplode, Temporal_Order, Life.Injure.Unspecified)); || support = 155
(0, 1, (Conflict.Attack.Unspecified, Temporal_Order, Conflict.Attack.DetonateExplode));(1, 2, (Conflict.Attack.DetonateExplode, Temporal_Order, Life.Injure.Unspecified));(2, 3, (Life.Injure.Unspecified, Temporal_Order, Life.Injure.Unspecified)); || support = 102
(0, 1, (Conflict.Attack.Unspecified, Temporal_Order, Conflict.Attack.DetonateExplode));(1, 2, (Conflict.Attack.DetonateExplode, Temporal_Order, Life.Injure.Unspecified));(0, 3, (Conflict.Attack.Unspecified, Temporal_Order, Life.Injure.Unspecified)); || support = 107
(0, 1, (Conflict.Attack.Unspecified, Temporal_Order, Conflict.Attack.DetonateExplode));(1, 2, (Conflict.Attack.DetonateExplode, Temporal_Order, Life.Injure.Unspecified));(0, 3, (Conflict.Attack.Unspecified, Temporal_Order, Life.Die.Unspecified)); || support = 125
(0, 1, (Conflict.Attack.Unspecified, Temporal_Order, Conflict.Attack.DetonateExplode));(1, 2, (Conflict.Attack.DetonateExplode, Temporal_Order, Life.Injure.Unspecified));(0, 3, (Conflict.Attack.Unspecified, Temporal_Order, Conflict.Attack.Unspecified)); || support = 122
(0, 1, (Conflict.Attack.Unspecified, Temporal_Order, Conflict.Attack.DetonateExplode));(1, 2, (Conflict.Attack.DetonateExplode, Temporal_Order, Life.Injure.Unspecified));(0, 3, (Conflict.Attack.Unspecified, Temporal_Order, Movement.Transportation.Unspecified)); || support = 108
(0, 1, (Conflict.Attack.Unspecified, Temporal_Order, Conflict.Attack.DetonateExplode));(1, 2, (Conflict.Attack.DetonateExplode, Temporal_Order, Contact.Contact.Unspecified)); || support = 110
(0, 1, (Conflict.Attack.Unspecified, Temporal_Order, Conflict.Attack.DetonateExplode));(1, 2, (Conflict.Attack.DetonateExplode, Temporal_Order, Contact.Contact.Unspecified));(0, 3, (Conflict.Attack.Unspecified, Temporal_Order, Life.Die.Unspecified)); || support = 92
(0, 1, (Conflict.Attack.Unspecified, Temporal_Order, Conflict.Attack.DetonateExplode));(1, 2, (Conflict.Attack.DetonateExplode, Temporal_Order, Contact.Contact.Unspecified));(0, 3, (Conflict.Attack.Unspecified, Temporal_Order, Conflict.Attack.Unspecified)); || support = 92
(0, 1, (Conflict.Attack.Unspecified, Temporal_Order, Conflict.Attack.DetonateExplode));(1, 2, (Conflict.Attack.DetonateExplode, Temporal_Order, Movement.Transportation.Unspecified)); || support = 149
